"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/2024","1,016.12","1,032.12","1,039.25","1,011.50","","-1.73%"
"10/07/2024","1,034.00","1,033.50","1,039.00","1,026.50","147.00K","-0.36%"
"10/04/2024","1,037.75","1,045.00","1,055.25","1,036.25","136.66K","-0.79%"
"10/03/2024","1,046.00","1,053.75","1,056.25","1,041.75","126.13K","-0.95%"
"10/02/2024","1,056.00","1,055.00","1,063.75","1,042.50","158.80K","-0.12%"
"10/01/2024","1,057.25","1,055.75","1,065.50","1,045.00","165.02K","0.02%"
"09/30/2024","1,057.00","1,060.25","1,069.75","1,052.00","167.65K","-0.82%"
"09/27/2024","1,065.75","1,039.75","1,069.50","1,034.25","237.04K","2.38%"
"09/26/2024","1,041.00","1,051.75","1,064.75","1,039.75","191.09K","-1.16%"
"09/25/2024","1,053.25","1,042.00","1,054.50","1,031.25","175.63K","1.06%"
"09/24/2024","1,042.25","1,037.00","1,058.25","1,032.75","206.13K","0.29%"
"09/23/2024","1,039.25","1,012.00","1,041.75","1,012.00","220.32K","2.69%"
"09/20/2024","1,012.00","1,012.50","1,019.00","1,001.25","128.09K","-0.12%"
"09/19/2024","1,013.25","1,015.00","1,018.25","1,006.75","116.59K","-0.07%"
"09/18/2024","1,014.00","1,007.00","1,022.00","1,006.25","147.45K","0.80%"
"09/17/2024","1,006.00","1,003.75","1,011.00","1,002.00","80.30K","0.15%"
"09/16/2024","1,004.50","1,005.00","1,012.00","999.00","79.10K","1.80%"
"09/13/2024","986.75","986.75","986.75","986.75","0.05K","-0.48%"
"09/12/2024","991.50","987.50","987.50","987.50","0.00K","1.20%"
"09/11/2024","979.75","978.25","978.25","978.25","0.03K","0.23%"
"09/10/2024","977.50","980.25","981.75","980.25","0.06K","-2.25%"
"09/09/2024","1,000.00","1,000.25","1,000.25","1,000.00","0.07K","1.09%"